AutoBruto,DiccionarioAutoridades17261739
BelloAlocu,belloSilvaAmericanaAgricultura1826
BelloEducacion,belloSobreFinesEducacion
belloMemoriaCorrespondienteCurso,belloMemoriaCorrespondienteCurso
BelloSociedad,belloSociedadParisienseEnsenanza1826
BelloYGarcMec,belloBoletinBibliografico1826
BenjaminDestructive,benjaminDestructiveCharacter2005
Chatzis,chatzisProduirePublierOuvrages2022
ChavezPrologo,chavezherreraPrologo2019
Cova,covaDonSimonRodriguez1947
CulturalChartier,chartierCulturalUsesPrint2019
Derrida,derridaGramatologia1978
FernandezYCiriza,fernandezSimonRodriguezUtopia1995
HurtadoYMuñoz,hurtadoariasMaestroSimonRodriguez2015
Krauss,krausAppropriationPratiquesLecture1999
LasarteValcarcel,lasartevalcarcelLadoOscuroSimon2005
LopezPalma,lopezpalmaSimonRodriguezUtopia1989
Löwy,lowyRedencionUtopiaJudaismo2019
LozanoYLozano,lozanoylozanoMaestroLibertador1913
MarcoyViaje,marcoyViajePorRegion1879
MarcoyVoyage,marcoyVoyageDansRegion1877
Mondragon,mondragonHaciaEdicionCritica2016
OrderChartier,chartierOrderBooksReaders1994
RAEAuto,DiccionarioAutoridades17261739
RAEautori,DiccionarioAutoridades17261739
RAEBruto,asaleBrutoBrutaDiccionario
Rama,ramaCiudadLetrada1998
Ramos,ramosDesencuentrosModernidadAmerica2009
RevolucionesChartier,chartierRevolucionesCulturaEscrita2018
Rod1828,rodriguezSociedadesAmericanas18282018a
Rod1834,rodriguezSociedadesAmericanas18282018d
Rod1842,rodriguezSociedadesAmericanas18282018c
Rod1849,rodriguezObrasCompletas2016
Rod1851,rodriguezObrasCompletas2016
RodPartidos,rodriguezObrasCompletas2016
Rodriguez1794,rodriguezObrasCompletas2016
RodriguezBolivar,rodriguezObrasCompletas2016
RodriguezViconco,rodriguezObrasCompletas2016
RojasOlaya,rojasolayaSimonRodriguezClase2017
Rotker,rotkerBravoPuebloPoder2005
Saco,sacoMemoriaSobreVagancia1853
sarmientoEducacionPopular1849,sarmientoEducacionPopular1849
SorianoTides,sorianoTidesRevolutionInformation2018
Stanziani,stanzianiReglesEchangeOu2013
Velayos,velayosPaintingWordsDrawing2019
VieiraDecolonial,vieiraDecolonialSubjectProblem2019
Wade,peterwadeRaceNatureCulture2015
ZizekSublime,zizekSublimeObjetoIdeologia2001
